제목,내용,게시자,게시날짜
"벤츠 C클래스 중고 2020년식 27,988km C200 쿠페 고급스러운 내외부 자랑하는차","450,000원) 색 상 : 흰색 연 료 : 휘발유 변 속 기 : 오토 차량번호 : 상세이미지 참조 사고유무 : 무사고 옵 션 : 네비게이션,블랙박스,감지센서 전방,감지센서 후방 기타사항 : 무사고 키2개 센터관리 차상태그림 스치면계약 문의전화 : ***-****-****",●현대차차차● 중고자동차 중고리스 인증중고차 중고차매매,1일 전
"벤츠 E클래스 중고 2021년식 62,614km E450 4MATIC 익스클루시브 실속있는 자동차","연 료 : 휘발유 변 속 기 : 오토 차량번호 : 상세이미지 참조 사고유무 : 무사고 옵 션 : 에어컨,핸들리모컨,스마트키,블랙박스,4륜구동,HUD 헤드 업 디스플레이 기타사항 : 완전무사고 센터관리 차상태그림 스치면계약 많관부 문의전화 : ***-****-****",●카카온카● 중고차 수원중고차 중고차매매 수입 국산 자동차,1일 전
메종키츠네 드레스드폭스 가디건 / 발망 티셔츠 / 코스 퀼팅백,"【오왔링크】 【메모인증】 파랑 인증 생략 【상품실사】 【상품설명】 1. 미스터포터 메종키츠네 가디건 블루 남성용 S 사이즈 202,106 2. 파페치 발망 키즈 티셔츠 블랙 12Y 실버레터링 140,848 3. 독코스 퀼팅백 미니 브라운 75,316 + 택비 3,500 ❤️❤️",딜공 - No.1 패션 & 직구 커뮤니티,1일 전
11월 정산글,"할거라 많관부 ㅎ 마무리 암튼 이렇게 11월 진짜 많은 일이 있었는데 다 좋은 일들만 있어서 행복해요 진짜 ㅎㅎ 인스타 한복 사진, 촬영 사진,,, 업로드 할 게 많은데 타이밍 맨날 놓치는 중 ㅋㅋㅋㅋㅋ 그래서 머리 아파서 블로그부터 올려버렸당 ㅎㅎ 2023년 얼마 안남았는디...",thinkoncemore님의 블로그,1일 전
복귀유저와 즐연커할 사람,순하게 바람피는 정도는 괜찮아) 생/감 진영 댓에 써주고 내가 확인댓 달아주면 내 유아이디로 친추해줘-> 13515910 친추멘트에 즐연커라고 써주면 도ㅑ 스킨은 뭘 끼던 상관 없음! 감2 생7 자리 남았어!!(나는 생존자로 참여할게) 사람 모이면 11시 55분에 시작할게! ...,제5인격 공식 카페,1일 전
[방탄빙의글] 연화리 청년회 0,"공감 80 넘으면 시작하고, 아니면 덮을게요 많관부!!!!! #BTS빙의글 #방탄소년단빙의글 #김석진빙의글 #민윤기빙의글 #김태형빙의글 #김남준빙의글 #박지민빙의글 #정호석빙의글 #전정국빙의글 #bts #방탄소년단 #방빙 #방탄소년단빙의글추천 #방탄빙의글 #방빙추천...",연습장,1일 전
[베트남] 3박 4일 패키지 여행 : 3-3일차(하노이 - Grand K Hotel Suites Hanoi/Two Bedroom Executive...,"플리즈~~~~ 다음 포스팅에서는 [베트남] 3박 4일 패키지 여행 4일차로 하노이 국제공항 - 인천국제공항 (하노이 노이바이 면세점), 대한항공 KE442편 후기로 포스팅 될 예정이니 다음 편에서 뵙도록 하겠습니다~~ 그럼 오늘도 내일도 ♥",always J_Trip,1일 전
"타임앵글(타임라인팀) 베리팀,밍팀,여름팀,러비팀 인원 모집합니다.",tc=shared_link 타임앵글 바밍팀 https://cafe.naver.com/tayoent/509890?tc=shared_link 타임앵글 여름팀 https://cafe.naver.com/tayoent/513101 타임앵글 러비팀 https://cafe.naver.com/tayoent/396907?tc=shared_link < > 다들 많관부입니다!,프리아 공식 팬카페,1일 전
에스파 윈터 - 항해 가사/MV (무인도의 디바 OST),들고 너의 머리 위에 꽃 핀 별들을 바라볼 수 있지 않을까 항해 후렴이 너무너무 좋다 6화 마지막 장면에서 끝부분에 오스트 나오는데 노래에 심쿵당하기는 처음이야.. 무인도의 디바 몰아서 보려고 아껴두고 있는데 곧 시작해야겠다. 윈터 마이데몬 OST <WithYou>도 많관부,느린펭귄의 걸음,1일 전
[포항] 2박 3일 영일대 여행,엣프피 픽으로 온 프랭크커핀바 영일대점 여기 분위기 장난 아님 진짜 곧 올릴 예정인데 많관부 그 와중에 조채는 자기 음료보다 내 거가 더 맛있다고 해서 바꿔마심 영수증 너무 귀엽죠 ㅠ 왕 귀엽 다리 막내 놀리는 게 제일 재밌었어요 ; 마침 둘 다 네일 해서 신나 버림...,맛집들 딱 대 ㅠ,1일 전
[군산] 군산누룽지삼계탕 - 뜨끈한 누룽지 삼계탕으로 이번 겨울 뚝딱,핑크색 양배추&양파&고추피클이 아주 상큼하니 괜찮더라구용ㅋㅋ 리뷰 이벤트도 진행하니 많관부~ 짜란~~ 엄청나게 넓은 뚝배기에 담겨 나온 누룽지 삼계탕! 닭 위에 이불처럼 누룽지가 덮여있어요 자세히 보면 닭모양이 보이쥬? 먼저 누룽지를 국물에 잠기게 가장자리로...,일상의 기록 :D,1일 전
자연 좋아하네,쓰고 보니까 또 당일치기 하고 싶은 마음이 스멀 스멀 올라오네요. 하지만 당장 닥친 건 기말고사...ㅋㅋ 그래도 기말고사 끝나면 크리스마스니까! 암튼 전 일상 포스팅으로 또 금방 돌아올게요. 이 포스팅 덕에 분량 조금 줄었으니까 1️⃣1️⃣월 일상도 여요.,✏️,1일 전
방송 재밌었어!!!!!!,근데 그런 게임은 다시 안할거임. 그리고 나 틱톡 만들었어 https://www.tiktok.com/@enyo_sekai?_t=8hep5xSjwE4&_r=1 ㅎㅎㅎㅎㅎ 많관부~ ⭐️ 낼 기대는 하지 말고…줴발………………….,아카이브 스튜디오 Akaiv Studio,1일 전
[생카 후기] 1125 카키 생일카페,다들 카키 생일 많이 축하해죠 마지막으로 카키 노래 추천하고 갑니다 빠잉~~~ 상수에서 생일카페 내일까지 열리니까!!!(심지어 내일(일요일)은 카키님 직접 방문 예정!!!) 시간 되는 사람은 꼭 가기 https://youtu.be/xJCMq3g54D0?si=Rl9e1GnujRgm_bmk #JUST_그냥_LOVE_IT #생일추카키,gabytpme,1일 전
부산 쿠키 맛집 서대신동 카페 쿠키담 수제 약과 추천 후기 (+ 87만 베이킹 유튜버 서담),"있으니 많관부 좋은 재료들만 골라 정성 가득 구워만든 수제 쿠키샵 쿠키담의 맛있는 수제 쿠키 라인업은 쿠키담 인스타그램에서 확인 가능❕ 내가 방문 한 날은 초콕칩, 쫀득땅콩, 믹스넛 초코칩 (오리지널, 초코), 얼그레이 레몬, 스모어, 호랑이, 말랑이, 곰돌이, 쑥팥...",연토피아 ٩( ᐛ )و,1일 전
22살에 사장이라니‼️[투데이제이원] 연말룩 같이 준비해요,12/1일에 오픈하니깐 다들 많관부♥️ [today_j_one 인스타] 다들 한번씩 구경하고 가요♥️ 이제 시작이다‼️ 22살에 사장이 되어버린..(?) 다들 응원해줄꺼죠오..? #창업블로그 #쇼핑몰창업 #쇼핑몰 #연말룩 #오픈세일 #창업 #사장 #젊은사장 #투데이제이원 #쇼핑몰사장...,today_j_one님의 블로그,1일 전
nov,ㅋㅋㅋㅋ 본계에는 절대 못 올리겠더라고 마지막컷 ㅠ 여기에는 공개해봅니다ㅋㅋ... 마지막으로는 땡땡이 전문 김유빈으로 마무리하께 아 그리고 !!! 유튭 다시 시작할거니까 많관부 해주세요 구독도 해주면 더 좋고 ..,⠀,1일 전
엠티아이뭐시기,"슬픔을 나누면, 슬픔이 반이 된다 vs 슬픈 사람이 둘이 된다 슬픔이인사이드아웃2많관부 36. 내 과제에 커피 실수로 쏟은 A vs 밤새도록 한 노트 필기 몰래 사진 찍어간 B, 누가 더 짜증 나는가? A손절 37. ""너 이번 과제 되게 대충 한 거 같은데 결과물은 좋게 나왔네"" 하면...",황서영뒤진다 로그아웃해네이버랑 묶어서 고소할거야,1일 전
걱정 하나를 잊기 위해 온갖 행복을 쌓은 나날,이날 수다도 엄청 떨구 잼썼음 우리는 정말 알게되서 다행이라 느낄정도로 너무너무 소중한 인연♥️ 이날 추억은 민자가 영상도 찍어줬지롱 다들 많관부 구독ㄱㄱ 곰모 가야해서 돗자리 구경하다가 위꼴된거 실화셈!??? 돈 아끼려구 걍 하리한테 빌림ㅋ 받아놓고 아직 안...,古灵精怪,1일 전
요리유튜브 제작중입니다 맞구독해요♥︎,"https://www.youtube.com/@daily___dn 신혼 예비신부의 요리레시피들 올립니댜 많관부♥︎ ※ 모든 홍보,광고 단순공유는 금지입니다.","소셜공간-마케팅,블로그,유튜브,카카오뷰,창업,알바,주식,부동산",1일 전
나도 공놀,"0~20:어1철 20~25 : 하루에 열개 씩 글 쓰기 ( 일주일 동안) 26~50 : 그림 글 하루에 2개씩 올리기(이주일 동안) 50~60 : 반의 반 얼공(3일) 61~70 : 실명공개(박제) 그이외: 얼.빼.공 ( 일주일) 150(?) : 얼공(11분) 소공부 가능, 기간은 다음주 화요일 까지 많관부 안 부탁",또봇 닥 I TOBOT D,1일 전
11. My Birthday,공짜로 주세요 사장님 달콤한 삼겹살 온의점 많관부 이모티콘 짜증나게 슬픈 척을 졸라한다 .. 졸라 짜증나세요 .. PNR 고수인 나에게 감히 !!! 발등에 마그마에 떨어진 상황 졸라해 졸라 !!! 이게 MZ ? 음료 부자 괜히 사왔어 !!! 우리 금쪽이 단어 시험 통과 못 해서 나머지...,도등희,1일 전
창동네일 동안네일 크리스마스네일 /건조한 날씨에 각질제거 패디플래닝이 효과적,행사중이예요 많관부 ^^ 예약은 네이버 동안네일 검색후 예약가능합니다^^ 저희샵은 도봉구 덕릉로222 동안연구소 내 1층동안네일입니다 2층은 피부관리와 속눈썹펌을 하고있어요^^ 많관부 감사합니다 ❤️ #창동네일샵 #동안연구소 #동안네일 #창동가성비네일샵...,동안네일/동안연구소/도봉구/창3동네일샵,1일 전
캐나다 밴프여행 캠핑카 예약하기 (RV 예약),"(시차/피로로 인한 사고 위험성이 높다는 이유) 안전을 위해 하루 쉬었다가 캠핑카 여행을 시작하시길 바랍니다. 밴프 캠핑카 여행은 정말 최고였어요 강추합니다 계속해서 캠핑카 후기, 캠핑장 소개와 밴프 여행기를 차근차근 올려보겠습니다. #",기억하고 싶은 나의 보통날,1일 전
❤️The 밝은 cake 오픈!!❤️,"제가 만들어드리는 제품이 그날을, 그자리를 밝게 빛내주길 바라는 마음으로 정성을 다해 준비해 드리겠습니다:) 더밝은케이크의 다양한 케이크/제품 많관부입니당❣️ #능곡떡케이크 #행신떡케이크 #일산떡케이크 #화정떡케이크 #고양시떡케이크 #능곡앙금플라워...",The밝은cake,1일 전
2023 OH HABBI X-mas,"만들어보았어요•• 많관부 많사부 !!! 예약완료 후 시간 , 디자인 , 크기변경불가! 신중히 결정후 예약부탁드립니다 크리스마스 주문서 •픽업자 성함 / 연락처 : •픽업날짜 / 시간 : (30분단위로 선택가능 , -사이 불가) ex: 1-2시 사이❌ / 2시30분 ⭕️ •디자인 번호...",Oh!Habbi Cake,1일 전
쏘 스윗 사모님 어맛ㅋㅋㅋㅋㅋ,내 닉넴 구식이네? 자체 업글해야징 (오늘 바꿈) 클래식음악야화만관부 → 클래식사용설명서많관부 와.......... 근데 이걸 알아채주신 사모님꼐 무한한 감사를 드립니다 굽신굽신 저런 센스가 있어야 결혼ㅇ.... ㅡㄹ .. 크흠,사비상사,1일 전
[앱 새상품]파이널키친 음식물처리기,"많관부~ ※ 거래 전 주의 사항 • 중고나라 앱 상품입니다. • 사기 예방을 위하여 중고나라 앱 내 안전거래를 권장합니다. • 카톡 또는 기타 링크(안전거래 사칭, 블로그)로 거래 요청할 경우 거래를 피해주세요. • 판매자 정보를 통해 중고나라 사기 통합 조회 후...",중고나라,1일 전
별거없는 대학생활 돈 쓸어담기,"금테 처음 써봐서 조절이 안되는데 역시 저는 배우는게 참 느려요 슬프지만 뭐 어쩌겠어요 남들보다 좀 더 빨리 시작하면 되지뭐,, 이 글이 올라갈즘은 한창 전시하고 있을거에요 11/23-12/2 많관부 ~~ 지역이 청주라 괜히 미안해서 따로 연락은 안했어요 연락 안해도 대신 연락준...",수년이대,1일 전
레서판다에서 함께 하실 분 구합니다,https://open.kakao.com/o/gh4kkaEf 많관부,메이플스토리M 유저 커뮤니티 카페,1일 전
(무인도의 디바) 9화,미쳤다ㅠㅠ 갈수록 너무 좋다고 오늘 매니저 이야기 눈물ㅠㅠ 왜 이렇게 나오는 노래마다 다 좋아 이러고 설마 오스트앨범 안내줄건 아니지???? 설마...... 드라마 <무인도의 디바> 블루레이 추진중 가수요 중입니다 많관부!!! https://cafe.daum.net/castawaydivabd,que sera sera,1일 전
231121 뮤지컬 몬테크리스토 ⚓️ 후기,다음 회차 페어는 잉몬테와 졔메르 잉졔라고 해야 하나..? 아무튼 나 죽을게 그냥.. ●▅▇█▇▆▅▄▇ 저 사진 하나로 프로그램북 12000원 값했다고 해도 과언이 아님 나에겐 이제 2월 25일까지 충무아트센터에서 공연이 계속 이어지니 ~~,뮤요로운 풍지컬 세상,1일 전
태양은 진 적이 없기에,시험이 얼마 안남아서…･ᴗ･̥̥̥ 최강야구 보면서 공부하면 완전 잘됌 강추하는 공부법 입니다 언니랑 플렉스함 개존맛 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 다음 블로그는..아마 나고야 블로그가 될거같습니다◠‿◠ 많관부..,가장 행복한 순간은 지금이야,1일 전
11月(임시),진짜 너무 맛있음 대홍시 zinzza 완전 엄청 대박 맛있음 분량 조절 대실패 블로그 어떻게 쓰는지 하나도 모르겠는 저는 그냥 마칠게요.. 재미없는 내 일상 보느라 감사하고.. 이것도 지울거같은ㄷ 하지만 글램핑갔다온 후기를 올려볼테니까 ~ ♡,",",1일 전
"[3박 5일 방콕여행] 1. 왓아룬, 왓포, 왓프라깨우, 사보이, 마사지인가든, 람부뜨리 로드, 카오산로드",팔을 붙잡으면서 호객행위를 해서 위험해 보이긴 하드라구요 너무 늦은 시간까지 있으면 위험할 것 같아서 일찍 귀가 했어요 :) 하지만 활기차고 다양한 국가 인종이 모여있어 신기하구 재밌는 거리였어요 그럼 다음날 방콕여행도 이어서 포스팅 할게요 !,율아의 하루,1일 전
어돕터블,많관부 ^_^ -전밤 내에서만 사용 가능(탈퇴시 회수합니다) -출처는 루어딘으로 표기해주세요(저작권은 넘겨주지 않습니다!) -선착순 아닙니다! 제가 코카콜라해서 뽑습니다. 네이버 룰렛을 돌릴 수도 있고... 댓글은 11월 26일 자정까지 받겠습니다! -이미 저희집 창고에서...,고양이 전사들 : 전사들의 밤,1일 전
[FKI 메타버스 서포터즈 B조] 기업가정신 2주차 활동,"그러니 이번 2주차 게시물에 대해서도 많관부ㅎㅎㅎ(많은 관심 부탁!이라는 뜻) 이번 2주차 강의는 기업가, 그 중에서도 기업가 정신에 대해서 알아보는 시간이었는데요! 기업가 정신이라는 단어는 평소에 잘 쓰지 않고, 경영학과 3년을 다니면서도 크게 강조된 부분은...",인생은롱런,1일 전
[대전 외식] 만나 대흥본점 | 대전에서 외식할 땐 만나의 상추쌈샤브 또는 스키야키를 추천,이거 마시러 또 가고싶을 정도 나가는 길에 커피머신도 있다. 원두는 바뀔때마다 어떤 원두인지 적어주시나보다. (쏘 친절) * 테이블에서 커피 취식 불가 주전부리도 팔고 계시니 많관부~ #대전대흥동맛집 #대전중구맛집 #대흥동샤브샤브 #대전은행동맛집 #대흥동외식추천,ෆ 숨의 일상 ෆ,1일 전
콜라겐주사 레전드 쥬베룩 CC 바이알 몇 병 알고 맞자!,많관부 그중에서도 가장 많이 받은 질문이 몇 CC 맞나요? 몇 병 맞나요? 몇 바이알 썼어요? 하는 질문이었어요. 그거 참... 대답하기 곤란데스.. 그 이유는 쥬베룩은 액상이 아니기 때문! 주베룩에 대해서 조금만 관심 있다면 바로 알 수 있는 부분이지만 사실 얘는 가루로...,대구공수니의 뷰티&패션Tip,1일 전
아넬형 안경 아툼(ATUM) 44 사이즈 출시,"별다른 이유 없이 그냥 블랙만 하고 싶었다. 통장이 텅 비기도 했고... 'D'를 형상화한 시그니처 장식에 7베럴 힌지를 연결했다. 만두처럼 생겨 만두리벳이라 부르고 있다. 미끄럼방지, 에이시언 노즈패드. 많관부 :) #디프레임 #디프레임아툼 #아넬형안경",달선생,1일 전
방문수 500따리 뉴비가 현인상 써드려요,많관부,리그오브레전드 한국커뮤니티 - LoLKor,1일 전
강아지옷 몽스웨어 추천 | 사계절 착용 가능 밸크로 기능성 조끼,하핳ㅎ 덕분에.. 옷 단독으로는 찍을수가 없었어요 오늘은 꼬미가 모델이되어 몽스웨어 강아지옷 추천드렸어요~ 요즘 같이 추운날 체온유지까지 된다고하니!! 우리 댕댕이 겨울옷 고민중이시라면~ 몽스웨어 많관부 . . . 그럼 이만~~~!!! 숑!!!!,못말리는 꼬미가족 :),1일 전
롤카페 뉴비가 댓글 달면 현인상이나 생각나는 말 솔직담백하게 해드립니다,많관부,리그오브레전드 한국커뮤니티 - LoLKor,1일 전
https://m.blog.naver.com/ysc_happy3032/223274733913,난 잤음 정말 오합 zㅣ존이다 양슐리에 많관부 나의 메뉴 한효정 선생님 생신축하 이벤트 당일 급하게 했지만 최선을 다했다고 봐.. 규리랑 이거 탔음.. 한번 타보고 싶었어.. 여기 놀이터 신기한거 개많음 또 길고양이 너무 귀엽다.. 예원이랑 하남 스타 필드 갔는데 저 티니핑...,.,1일 전
에이브릴라빈의 complicated 커버 해봤어요 ㅎㅎ,https://youtu.be/AG5wh_Tn0QQ?feature=shared 많관부 ㅎㅎ,통나무집 그리고 통기타(통앤통),1일 전
HBFC 쌍년부 토너먼트 개막식,할머니밥상 파이팅 챔피언십 쌍년부 토너먼트를 개최합니다 예선 8강은 매트에서 진행하며 본선 4강부터 할머니밥상에서 진행합니다 많관부,레슬매니악샵,1일 전
"[영화 추천] 외계+인 1부 상영회, <외계+인의 밤> 후기: 플래카드 만들기, 무대인사, 외계+인 1부, 외계+인 2부",그런 의미에서 2024 tvN 방영 예정 드라마 <정년이> 많관부... 아이폰 줌이 개구려서 저정도로 나오지만 안경 쓴 눈으로는 충분히... 2024년 1월에 개봉하는 <외계+인 2부>랑 이안이 많관부!!! 많사부!!!! 아마 이 영화의 평은 2부가 어떻게 마무리되느냐에 따라 정말 크게 바뀔 수...,A Rough Guide to ____,1일 전
물망 클랜 악1~악4 미네랄 버스,https://cafe.naver.com/onimobile/14644749 많관부,좀비 고등학교 모바일,1일 전
HBFC 쌍년부 토너먼트 개막식,할머니밥상 파이팅 챔피언십 쌍년부 토너먼트를 개최합니다 예선 8강은 매트에서 진행하며 본선 4강부터 할머니밥상에서 진행합니다 여러분들의 많관부,액션피겨 (액션피규어),1일 전
[세븐틴 빙의글/준 빙의글] 나의 작은 세상은 웃어줄까,조슈아 | 준 | 호시 | 원우 | 우지 | 디에잇 | 민규 | 도겸 | 승관 | 버논 | 디노 | 육아물 | 설렘썰 | 설레는 이야기 | 학창시절 | 학교빙의글 | 아고물 ※본 글은 아티스트와 전혀 관계가 없는 픽션임을 알려드립니다. 레전드 OST 콜라보 열번째 순서 윤쫑럿 작가님 글 입니다. !!,우리가 만난 이야기,1일 전
#급발진 강릉여행,11/22- 12/2 많관부 오프닝 케이터링이 무려 원형들이였음 암튼 졸전얘기는 나중으로 미루고 갑자기 강릉? 나 J는 맞는데 갑자기 급발진할 때가 가끔 있다. 당일치기로 다녀올 계획이라 오전열차가 5:00/6:00밖에 안남았길래 6시 열차를 예매했었다. 근데 지하철 첫차가 5:30.....,Dailyeun_ing❥,1일 전
2023 하반기 EBS 온라인 멘토링 서류 & 면접 후기,그렇게 면접을 본 당일 날 나는 바로 합격 문자가 왔다. 첫 대외활동 합격이라 문자를 받았을 때의 쾌감은 정말...엄청났다!!! 다음 포스팅에서는 본격적인 활동에 대한 것들을 다룰 예정이다. 다음 포스팅도 많관부!!!,물사람의 블로그,1일 전
10대 남사친 구함,"나이는 19살이고 키는 176입니다 취미는 풀룻 하는거고, 운동을 주로 합니다! 운동은 주로 플랭크 1시간정도 하고, 코어도 기르고 있어요 그리고 그림도 가끔씩은 그리고 있어요 많관부 해주세여~","[위드프렌즈] 친구만들기,10대,20대,연애,소개팅,페친,카톡,솔로",1일 전
동암 족발 오향불족발보쌈 십정동은 여기지!,두툼한게 진짜 식감이 너무 좋았어요!! 쫄깃함에 비해 절대로 질기지 않는다는점~ 쌈으로 싸먹어도 야채가 싱싱해서 식감도 좋고 위 사진처럼 간소하게 하나씩 얹어서 먹기에도 너무 좋았어요! 배달과 포장도하고 홀도 운영중이니 ~,"먹성좋은 개둘맘, 소소한 라이프",1일 전
에어드랍 플리 많관부,https://youtube.com/playlist?list=PLAE9kLCzSyB-H2e0HVjShFXd38tkTwqGu&si=4jsTJEPmb5yJTK_5,Deeeep.io : 딥이오 공식 한국 커뮤니티,1일 전
감각적인 렌탈스튜디오 & 녹음실 슈팅라이크웨스! 후기인듯 후기아닌 글,"의욕없는 산송장 같은 나와는 반대로 에너지가 넘치는 사람인 것 같다. 아님 말고요. 글고 enfp라는데 나랑 모든 글자가 정 반대임.. 가족으로는 대박 짱나는데, 알바사장님으로는 괜찮을 듯! 재방문의사 100% 암튼요 다 잘돼서 두 발로 우뚝 서시길~ 모두모두 ~~~!!!!",Happiness is a warm puppy!,1일 전
Bad news 식지 않는 논란 My attitude 못된 짓만 골라,다들 몸 조심 많관부! 이거 뭐였지... 기억 안 나는데 아마 생긴 걸 보니까 버거킹 치즈와퍼? 같네요... 분명 주니어로 시켰는데 큰 게 나와서 말씀드리니 그냥 드셔주시라 하셔서 넵...하고 먹었음 걍 운동 열심히 하는데도 살이 안 빠져서 왜이러지? 했는데 약을 먹어서...,손가락도 락이니깐...,1일 전
푸른 장미와 아네모네,"해당 글은, 윤리님께서 주최하신 장례식에 왔는데 옷차림이 합작입니다. tirgger warning : 사고 장면이 포함되어 있습니다. 시청에 유의해 주세요. 作. 하나 음, 뭐 어디서부터 꼬였을까. "" ... 김, 여주.. "" "" 왜, 거기.. 있어? "" 진짜로 이럴 줄은, 꿈에도 몰랐는데 말이다. 검은 옷을...",햇살 가득 여름 날,1일 전
Face the Sun 02.,결국 어디선가 담요를 들고 와 여주에게 덮어주며 정한을 잡으려는 지훈이었다. 내일 22시도 많관부❤️ 세븐틴 빙의글 | 최승철 | 윤정한 | 홍지수 | 문준휘 | 권순영 | 전원우 | 이지훈 | 서명호 | 김민규 | 이석민 | 부승관 | 최한솔 | 이찬 | 빙의글 추천 | 홍일점 | 조직물 페더썬,"17, 나의 청춘에게",1일 전
[FKI 메타버스 서포터즈 B조] 기업가정신 2주차 활동,"그러니 이번 2주차 게시물에 대해서도 많관부ㅎㅎㅎ(많은 관심 부탁!이라는 뜻) 이번 2주차 강의는 기업가, 그 중에서도 기업가 정신에 대해서 알아보는 시간이었는데요! 기업가 정신이라는 단어는 평소에 잘 쓰지 않고, 경영학과 3년을 다니면서도 크게 강조된 부분은...",일상다반사˚₊·—̳͟͞͞♡,1일 전
앱 법 장 보내요~,많관부 싸게 드려요,메이플스토리M 유저 커뮤니티 카페,1일 전
남이현룸 생방송 진행중 많관부,https://www.youtube.com/live/Q9dXtW2fKDk?si=-U68Yeo-hl_B0CtL,배틀그라운드 모바일 공식 카페,1일 전
