제목,내용,게시자,게시날짜
"[안양원단가게]11월 마지막주, 겨울원단은 예뻐야 한다!~",ㅜ.ㅜ 이왜진.... 품절!~ 실시간 포스팅을 못하는 자의 한계 ㅜ.ㅜ 하지만!!~ 카페에 가입하시면 블로그 소식보다 휘~얼씬 더 빠르게 소식을 받아볼 수 있어용! ↓한나찐편 말듣고 카페 가입하기↓ 그럼 이번주 포스팅은 여기까지 할께용!! 즐거운 주말 보내세용!~ &,한나패브릭 & 한나찐편,1일 전
2023.10,"했는데 이왜진 저랑 동진이가 당첨이 됨 소녀가 돼,, 배우님들 보는데 내가 무슨 말을 해야할까 모르겠더라구요 김예원 배우님 너무너무 예쁘시다 귀가하는 지우랑 명환이 속 안좋았던애 맞나요 탕후루도 먹어줘요 1014 솔직히 신발 많이 없기도 하지만 원래 하나 신으면...",J,1일 전
사람 이름이 어떻게 하응 ㅋㅋㅋ,이왜진,페이트/그랜드 오더,1일 전
제목,했는데 이왜진? Ppt 조용히하세요 32기가 렘인데… 약한 소리 할래? 영상이 안끝나네요.. 빠른 시일내에 공식 커버 올려주시길 바랍니다 친구 만나서 인형뽑기 했는데 인형 등만 긁어주고 끝났어 퉤 뽀사서 가져가자. 진짜 이런 씹덕짓 그만둬야하는데.. 어떡하지……. 내가...,일기장,1일 전
09,그냥 인생이..굉당히 고단해서여 ㅎ 나름 인생산다고 살았는데 아직도 이왜진 정신은 단단해지지않는건지 하여튼 그래도 나름 사진을 보니 행복한날도 이떠라구요 ㅎ 이런 찰라의 행복한 나날을 나중에 보기위해 기록을 시작해보겠습니다 결혼식 핑계삼아 가는 제주도 꽤나...,Forever young,1일 전
[대만 어학연수] 끝났다~,근데 또 먹진 않을듯^^ 이왜진… 신용철 교수님이 동영상 보여줄때는 하나도 안믿겼는데 진짜 있는 마사지였고;; 저게 모두 지압점이라면 저기 있는 거울로 얼굴 몇대 때리면 건강해지는거 아니냐면서 ㅋㅋ 저번에 또 왔던 이자카야.. 다음 학기에는 좀 새로운 곳을 찾아야지...,Utrue’s blog,1일 전
"기안84, 이집트서 안 씻는 김대호에 ""대호형 위생 관념 좀 제발"" 일침…이왜진?","기안84, 이집트서 안 씻는 김대호에 ""대호형 위생 관념 좀 제발"" 일침…이왜진? ▼▼ 상세내용 보기 ▼▼ "" """,MJ,1일 전
499!!,가을일상 ㄴ이라고 썼는데 블로그 올리려니까 갑자기 겨울 됨 이왜진 정정하겠습니다 -> 겨울일상 @한남오뎅 연서유댕 조합 오래.. 오래망갑 아니 갑자기 너무 추워짐 이슈로.. 따뜻한 거 먹으러 감! ㅋㅋ여자들이란 ~ 헤헷콩 아줌마 머리 땋았어 여자들이란~ 2 그리고...,━☆ﾟ.*･｡ﾟ,1일 전
떨어진다,이왜진 나 유애나였으면 행복해서 죽었다. 이왜진 왜지 진짜 친구야 미안해 멜론은 처음이라... 걍 광클해서 거의 2분만에 들어감 근데...딱 플로어 눌렀다가 자리없어서 뒤로가기 하는데 나가짐; 이 무슨... (내 다시 멜론 쓰나봐라!) / ;;;; 0908 ❤️나에 생일❤️ 12끼지...,_,1일 전
경랭 이왜진?..,사실 어제 갔는데 귀찮아서 이제 올린,좀비 고등학교 모바일,1일 전
"전설의 홈트 후기-캐시, 티파니, 클로이팅, 비타민신지니",팔뚝 10월 6일> 11월 6일 팔 둘레 22cm>23cm (이왜진 팔뚝은 오히려 더 늘어남;;) 아니야 측정 위치가 정확하지 않아서 그래!!조금 더 두꺼운 부분에서 측정해서 더 크게 나온거야!!제발 그렇다고 해줘ㅠㅠ 홈트 횟수:9번/36일 왜 효과 없었는지 알겠다 ㅋㅋㅋ거의 안...,다이어트 없이 행복한 삶,1일 전
"2023년 11월 25일(토) 오후 12:12:48 현재, 지금 뜨고있는 연예 뉴스","2023-11-25 11:00:00 - 인디뉴스 기안84, 이집트서 안 씻는 김대호에 대호형 위생 관념 좀 제발 일침…이왜진? MBC 나 혼자 산다 캡처 기안84가 김대호에게 청결함을 강조해 폭소를 유발했다. 뉴스 ... 2023-11-25 11:00:00 - DBC뉴스 KBS2 ‘1박 2일 시즌4’ 김종민-나인우...",매직뱅크,1일 전
"기안84, 이집트서 안 씻는 김대호에 ""대호형 위생 관념 좀 제발"" 일침…이왜진?",https://vodo.kr/FKPdqfV,바람은소망하는곳으로분다.,1일 전
"유흥업소 실장과 통화 공개 기안84, 이집트서 안 씻는 김대호에 ""대호형 위생 관념 좀 제발"" 일침…?","일침…이왜진? #기안84, 이집트서 안 씻는 김대호에 ""대호형 위생 관념 좀 제발"" 일침…이왜진? #기안84, 이집트서 안 씻는 김대호에 ""대호형 위생 관념 좀 제발"" 일침…이왜진? #기안84, 이집트서 안 씻는 김대호에 ""대호형 위생 관념 좀 제발"" 일침…? #기안84, 이집트서...",모두의 자동차,1일 전
Aug,미친 이왜진 최혜성 진짜 왔어 연신내 시선에 와 미친 나도 갈래요 나도 우리 콩이 밥그릇 귀엽죠 밥 담아주려고 하면 저렇게 예쁘게 쳐다본다 10일만 기절시켜주세요 숨은 사진 찾기 편지 사이에 사진 하나씩 숨겨주기 친구가 꽃신 신었어요 .. 부럽다 .. !! 하나 하나...,YOU AND I,1일 전
땡큐 우지벌트 .. ⭐️,"넘 마싯엉 ㅋ ㅠㅠ 이왜진 .. 갑자기 복분자 ㅋㅋ 진짜 개기절 ;;;;; 막창 2인분, 야채곱창 2인분, 복분자, 볶음밥 다 했는데 오만원 안너옴 말이 도ㅑ? 물가 상승하는 이 시국에 이게 말이 돼? 요즘 오빠 생리하려나,, 후식을 그렇게 찾네 ,,,, 여름에도 안찾던 빙수를 갑자기 찾고...",.,1일 전
로마 4박5일: 로마 시내 / 바티칸 / 남부투어 / 우당탕탕 비행기 놓친 썰까지 풉니다..,이왜진.. 한국어가 왜 여기에.... 집합장소 근처로 올라와서 레몬셔벗까지 사먹은 여성들 왕큰레몬 우리만큼 자유시간에 빨빨대면서 돌아다닌 사람이 없을 것이여.. 마지막쯤엔 레몬셔벗 먹을 시간 없을까봐 뛰어 올라갔다고요 ㅋ ㅋ ... 포지타노에서 자유시간을 끝내고...,JUNGYEONIGANATANATDA,1일 전
[재재의 일상] 제 1화 미녀 듀오의 나들이,못참는데… 이왜진ㅋ 이거 좀 잘나오드라구여? 3분동안 찍은듯 ㄷㄷ 행직씨랑도 찍음 ㅋ 아 행직씨 목걸이 내가 빌려준건데 예부지 않음? 잘산듯 알리익스프레스 최고 ㅋ 아니 계단 올라가는데 사진 찍어줘서 봤더니 광각으로 찍고 난리...,재재,1일 전
11월 월간 결산,"친구들이랑 전역사진도 찍었는데, 얘네 군복입은걸 저때 처음보는게 킬포 어쨌는 의미있는 사진 찍어서 좋았다~ 이왜진? 원래 전주에 11월부터 눈이 왔었나??? 올겨울은 따뜻할 거 같다던데, 전혀 아닐 거 같고.. 첫눈 같이 못봐서 아쉽지만 그래도 오랜만에 기분좋게 첫눈을...",블로그,1일 전
정신보니 11월도 끗,농담반 진담반 보냈다가 이왜진 …. 정치 역사 문화에 관심많은 German Graduate Student (In Physics) 화목한 모녀 604 배차간격 무슨일일까.. 심지어 7시였나?… 이상하다.. 만나자만나자했던 브리티랑 세은이랑 만나따 —-! 둘 다 너무 저아 스윗해 판다 세마리 머리띠도 쓰고 사진...,젠로그,1일 전
미사카가 알려주는 수능물리 ㄷㄷ,이왜진,페이트/그랜드 오더,1일 전
あ,하...지랄시작 불화설 ㅋㅋ 뜨기 전에 이왜진 만남 여기 피자 진짜 맛있음 와이거진짜찐따같다윤서야 배진서퍼컬이왜진;; 휑~ 응 이러고 넷이서 한 번도 못 갔어 32 일상 ^ ^ 마크잠밥다시잠 종일 이 상태임 하... 성경아 좀 면접 보고 계속 떨어지니까 이제는 상하차라도 하고...,⠀⠀⠀,1일 전
알리에서 2000원 주고 샀는데 너무 맘에 들어서 당황스러워서 쓰는 후기. HERORANGE 미러립 글레이즈,(+TMI) 참고로 이 날 같이 구매한거 다 개박살나서 옴 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ쿠ㅠㅜㅜㅜㅜㅜㅜㅜ 쨌든 이거 립 받아보니 진짜 미친듯이 맘에 듦 이왜진.....* 히어로렌지..? 라고 읽어야되나 HERORANGE MIRROR LIP GLAZE라고 적혀있음 패키지. 내가 구매한 색상은 04번...,어바웃 체니,1일 전
<헝거게임: 노래하는 새와 뱀의 발라드> 후기 (스포x),"솔직히 말씀 드리면 이왜진... 싶을 정도로 감정들이 휙휙 바뀝니다. 스노우와 루시 속을 알 수 없어서 감정 이입이 힘들었어요. 갑자기 눈이 맞았다가도, 또 아닌 것 같기도 하고... 감정선을 섬세하게 따라갈 수 있는 장치들이 부재했던 것 같습니다. '왜 스노우는 악을...",청춘답게 발랄하게,2일 전
오늘은 금요일,방금 고양이가 최고라는 말 취소할게 회재쌤이 최고야 우리 모두 회재쌤을 종교로 받아들이고 숭배하자 시험기간에 축제 이왜진? 나 이번 시험도 망하면 그냥 머리 밀고 절들어가려고 나 두상 이뻐서 아마 너희 다 반한다ㅎㅎ 구경와~ 축제축제축제ㅜ 넘 좋당 근데 시험...,damee의 블로그,2일 전
저녁 출첵,제5인격......이왜진......,With ROY,2일 전
❄️,바로 2018 시간여행임 우왐 농구 재밌당 진짜 너무 더워서 땀 역대 흘림 치어리더 언니들 춤추깅래 따라췄더니 정신차리고 보니까 모두가 날 쳐다보고 있었음 하필 아는 애들 많이 마주쳤어서 쪽팔려D져부려 ㅇㄴ 이왜진? 다들 사진 찍으려고 기다리는데 넘 지쳐서 앉으러...,⠀,2일 전
또 밀렸네,보령 상화원 찬바람때메 덜덜 떨면서도 이쁜 곳은 사진 찍어주기 너무너무 예뿌다 ㅋㅋㅋ이 날 데이트하는데 내가 맨날 자기 차에 쓰레기 두고 간다고 쿠사리줘서 아니라고 맨날 갖고 내린다고 빽빽거렸는데 이왜진....? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아니 진짜 이날은 실수구요...,꼬지 일기장,2일 전
구월 .. 기억조작 있을수있음주의,이왜진 .. 일주일 촬영 일정이라 연차없는 도비는 울며 겨자먹기로 포기했는데 출연료 생각하면 그냥 할걸 그랬나 싶기도 .. 끼얏호 미나리 생파기념 대전가요 올여름 수영 못한 친구들 다수라 수영장 있는 숙소 예약했는데 1시간 하고 힘들어하는 저질체력들 암튜브...,<3 <3 <3,2일 전
231111 그대들 어떻게 농구 할 것인가(대구 페가수스vs 고양 소노),이게 바로 종합문화콘텐츠지.... 농구 하다가 치어리딩도 하고 마스코트 저러다 춤춰 주면 좋겠다ㅎㅎ 하는데 진짜 춰줌(이왜진 어디 가서 이 돈 주고 이런 구경 못합니다.. 졌다 공수가 엄청 빨리 바뀌어서 선수 이름 부르다가 디펜스 외치다가... 재밌었음,야기하는_,2일 전
Stay the course,남산오성중앙 이렇게 공연보러간 날 각각의 학교에 배정받은 기범삼총사의 만남이 성사됨 오랜만에 숨통트였던 날너무잼써얘네랑있으면 그리고 박졸환 미친놈 자바칩맛없다면서 한잔 싹비움ㅋㅋ 누구세요 학급비로 이월드감 ? 평일저녁이었늠데도 사람 많고...,-,2일 전
샤벳 체력 롤백 기원 754일차,이왜진??,쿠키런: 오븐브레이크 공식 카페,2일 전
16 :,1122 내 손톱깎이와 맞바꾼 다해의 웨하스(?) 근데 저거 진짜 마시따 아 진짜 개웃긴 게임 발견 ㅋㅋㅋㅋ큐ㅠㅠㅠㅠㅠㅋㅋㅋ이왜진... 1123 시울 해단식... 채빈이한테 냅킨 장미 만드는거 배웟당 진심 저거 100송이 만들 수 있음 안구보호 한결언니가 준 엽서편지....,",",2일 전
"내 11월 어디갔냐? 이왜진,,?",나 분명 11월 (1) 이러면서 제목 써놨는데?.. 한주 남은거 실화냐고 새로운 시작 스트레스 받아서 몸도 난리났었음 에.. 나 쫌 많이 예민하네? 예.. 두근두근 첫날 어떻게 눈을 떠서 가네요 저.. 예 있는의미 없는 의미 다 부여해서 드디어 칠년만에 같은 도시에 직장생활을.. 첫날...,WHAT I SPEND IN A WEEK,2일 전
오네쇼타 앞에서 암컷복종포즈 취하는 치매노인을 지켜보는 샌즈와 그앞에서 더블피스하는 핫걸,이왜진? 하치야 진엔딩 클리어 축하해! 사이좋게 W포즈 하고있는 한쌍을 보고 즐거워하는 하치 (급하게 캡처하느라 짤렷서),HEY 하치,2일 전
???) 이왜진,오늘도 특허권 사이트를 보던 인버스씨는 뭔가를 보는데 . . . . . . . . . . . . . . . . . . . . . . . . 두둥탁 ????? (버덕이라면 아는 *그*차) ????? 이게 왜 여기에 ㄷㄷ,3D운전게임: KOREA [3D운전게임 / 3D운전교실 / 3D자유주행],2일 전
"혜화동 공연 <비누향기>, 비가 울리면 누군가의 향기가 기억난다 - 대학로 대표 힐링코미디 연극 추천","이왜진? 처음 시작할 때 본인을 작가로 소개하시긴 했지만, 아무래도 배역이 작가 역할이다보니 그냥 연기의 일부인 줄로만 알았는데 진짜였다니.. 실제 작가님이 본인 연출작에서 '작가 역할'을 연기하시는 걸 봤다고 생각하니 더 유의미한 혜화동 공연이 아니었나 싶다....",배고픈 인생,2일 전
날 것 ㅈㅅ 합니다,이 전시 너 무 좋았다 가방 구매 ㅎ 두부참치새싹유부초밥 냉장고 행 추구미 ㅎㅎ ㅎㅎㅎ 저번 축제 때 싸이가 너무 좋았어서 꼭 가야겠다고 생각… 이걸 가야 한 해가 마무리될 것 같았다 새벽까지 취소표 존버하고 스탠딩 4개 잡고 2개는 친구한테 양도햇당 이러고...,ㅡ,2일 전
(진)AI웡키 - 샤이닝하트,이왜진ㅋㅋㅋㅋㅋㅋㅋ,명예훈장 공식 팬카페,2일 전
와꾸텽 콜라 자주 마시면 거시기 커진대,공중파 뉴스에도 보도됨. 이왜진?,왁물원 :: 종합 거시기 스트리머 우왁굳 팬카페,2일 전
칰강민 오피셜,https://n.news.naver.com/sports/kbaseball/article/396/0000661132 이왜진,"수없세 - 수능이 없는 세계로, 박종현의 행복한 커뮤니티.",2일 전
저스트댄스 사람이 분장하고 추는 거였네요..?,"이왜진 https://www.instagram.com/reel/CzgwROcoDk0/?igshid=ZDE1MWVjZGVmZQ== "" "" "" "" 뒷북이라면..",선바 팬카페,2일 전
#16 가을과 겨울 그사이의 우리,"오늘도 열일하구 퇴근하는데 제가 로제병에 걸려서 (=돼지병) 엽떡 로제에 꽃혀서 일주일내내 먹던날이 있었는데 퇴근하니 배가고파서 오빠한데 떡볶이 먹고싶다 한마디했는데 떡볶이 이왜진,,,? 그의 사랑으로 저는 더 뚠뚠해진 돼지가 되었답니다 매번 오빠가 사줄까?...",오늘의 일상 그리고 행복,2일 전
강릉 1박2일 여행.04 대게 로컬 맛집 교동대게 본점 내돈내산 추천,상다리 휘어지는줄 알았답니다 이 소고기 타다끼가 와사비 올려 먹으니 대게집에서 이왜진 맛있지? 스끼다시를 먹다 보면 강릉맛집 강릉 교동대게 본점의 메인메뉴 대게가 모습을 드러냅니다 붉은색 잘 익은 대게가 군침을 돌게 해요 수율도 미쳤고요 통통하게 차있는 대게...,일상 여행 riri's,2일 전
애플광고에 뉴런시냅스드릴수분감 출연ㅋㅋㅋ,이왜진,포만한 수학 연구소,2일 전
"39시간의 여정 (총 3시간 수면, 3회 식사)",당첨됨 이왜진 1일 엔하이픈 체험 어 드가자 ㅋㅋ 아 엔커넥트 기대 하나도 안 된다 ㅋㅋ 개빡센하루시작 앨범깡 하고 죽지 않기 위해 오쏘몰 하나 먹음 얼어 뒤지지 않기 위해 생존을 위해 바지를 입음 시발진짜저능해서학습능력개딸림 고속버스 타고 맨날천날 후회하면서...,naughty,2일 전
신용산 술집 럭키호프 메뉴 가격 / 3등 피규어 당첨후기ㅋㅋ이왜진..?,주소 서울 용산구 한강대로15길 19-4 영업시간 18:00~24:00 (매주 월 휴무) 전화번호 0507-1337-1519 대학 동기들이랑 만나서 방문한 신용산 술집 럭키호프 용리단길은 너무 핫플이라 6시만 지나도 사람이 꽉꽉 차서 웨이팅 필수라ㅜㅜ 그나마 좀 낫다는 신용산역으로 왔다! 그...,디자이너 가든의 일상&강의 블로그,2일 전
꼴피셜 오늘 일정,모닝 체스 점심식사 토노노(이왜진),꼴랑이 방송 공식 카페,2일 전
개인적으로 극혐이었는데,왜 또 나옴? 이왜진?,명일방주 공식 카페,2일 전
"포항 문덕 맛집 땡큐쏘마키 문덕점, 포항 후토마키 맛집 추천!","물, 앞접시, 수저, 장국, 반찬, 티슈는 매장 안쪽의 셀프코너를 이용하시면 돼요 바로 옆에는 식기 반납하는 곳이 있어요 정면으로 생맥주 기계가 보여서 찍어왔어요 아사히와 켈리 셀프코너에는 다녀왔지만 반찬은 안 퍼 온 담이 ........?오빠시킴ㅋㅋㅋㅋㅋㅋ...",재잘재잘,2일 전
웅성웅성 정원사님이 돌아오셧대~~! (곳간털이),"분홍색 너무 조아요 잘어울려용 굿. 마딛게 드셨나요? 전 빼빼로 맛있게 먹었어요 감사합니다 치즈케이크 크라이시스 낙서 이 노래 첨 알게 된게 치즈케이크 먹고 싶어서 ""치즈케이크 하루나비"" 검색했는데 나와서 놀랐음 ... 탐정 넘 귀여워요 장갑도 너무 좋아요",당신의 정원 : 하루나비 팬 커뮤니티,2일 전
안녕.. 오랜만이야 ..,이왜진.... 아 잘생긴 남자 둘이랑 사진 찍었는데 모자이크 없는 버전 100원에 팝니다 궁금한 사람 디엠 ㅋ 우리의 2차.. 사진만 봐도 존나 광란의 밤 같지 않냐고 ㅋㅋ;; 우리의 홍대 국룰 엑스엑스 수진 언니 짱 담주 화요일 다들 드릉드릉해라 가보자고 갑자기 얼빡 미앙...,wonji,2일 전
여름기록,이왜진... 다 공짜로 주시는게..말이 안되세요 ㅎㅎ 홍대 라루즈 많이 가주세요 적게 일하고 많이 버시길❤️ 이수진이랑 나랑 자세 똑같음 ㅋㅋㅋ 댕웃김 ㅠㅠㅠ 아니 다들 술도 못먹구 갈데 없어서 홍대 24시 사우나 왔는데...조명...중국인...위생...에바세요.... 절.대.가.지....,심심할때마다 씁니다><,2일 전
110,했는데 이왜진 근데 저 못가는데요 옵빠 인스타에서 봤던 열튀김우동 발견했는데 리뷰 찾아봤을때 막 끌리는 컵라면은 아닌 것 같아서 그냥 안샀다 이번주 블로그는 일이 있어 짧지만 다음주에는 더 많은 분량 채워서 오겠슴미다,우니우니 브라우니,2일 전
22년 일기는 언제 끝이 나는가에 대한 토론,있다네오 이왜진? 2.25 우리가 그의 이름을 불러 주기 전에는 그는 다만 하나의 희망적금에 지나지 않았다. 우리의 그의 이름을 불러... 발견해버림 이왜진 일단 저장해두고 언젠가 가기를 고대해봅니다 교보문고에 들러 잡지 쇼핑 혹은 앨범 구경 혹은 책 구입하다 나는...,"XXX , 777",3일 전
어캐 앨범 이름이 abcdefghijklmnopqrstuvwxyz,"이왜진? 이왜않노이즈,그라인드코어,브레이크코어? 안녕하새요. 사진 찍은 것도 없고 올릴 건 더 없고 적을 거리가 별로 없어서 올릴지 말지 참 이미 적고 있지만 . 키노우에64 ㄱㄱ 저는 금요일 갈 듯 사정상 기차시간 맞춰 보고 바로 나와야 되겠으나.. 이런 분이라네요. 안...",arinomama,3일 전
'그 영화' 재개봉 예정 ㄷㄷ,이왜진 ㄷㄷ;;,트위치 버디현,3일 전
I’m divising。,이러고 있는데 이름 불림 초초 당황issue 솔직히 아직도 이왜진.. 나 알바갈 준비 하고 있었능데 근데 기분 쪼음 국무 영업왕상 우후후 ✌ 국무 영업왕상 ? 우리 받을만 할지도 ! 마지막일듯한 멘토링 ! 수고했다 ! 와혀니 덕분에 재미난 동아리에서 잘 적응해서 지냈다눈 ~ 그런...,hyehye◞♡,3일 전
빈희에게 남자가 생겼다 [도빈희는 자유에요! ~본격 프리랜서 라이프~ #2 / 심즈4 플레이],너무 놀라서 남친한테 하소연하러 감 지금 테레비 보고있었구나 어휴 진짜 그리고 미친 폭풍직진녀 빈희는 사귄지 하루밖에 되지 않았지만 애셔랑 같이 살고싶은가봐요 이왜진 그렇게 애셔와 빈희는 동거를 하게 되었습니다. 미친금사빠가 항상 그렇듯이 또 시작이네요....,yeSIMbinnY,3일 전
속보) 광고 방송에서 천사님의 손이 최초로 공개되어...,이왜진??,이소로피아 팬카페,3일 전
부산교육청 가채점 수정본,이왜진 표점은 안고침,윤도영통합과학시스템,3일 전
일본,"나는 숙소 주소 검색했는데 사진이랑 너무 다른 거리와 집들 … 카카오택시 사랑해요!♥️♥️♥️ 바보 비용이 더 많이 들 거라고 넉넉하게 돈 챙기자 했던 우리,,, 이왜진;;? 히히 숙소 도착~! 토종 한국인 입맛인 우리는 일본 음식 대 왜캐 달고 짜고 느끼해!! 하면서 맥날감...",alsrud10705님의 블로그,3일 전
BP,개비싸다 무슨 이만원이 넘어 카페가 눈이 오네 마네 하는데 좀 걸으니까 진짜 와서 말도 안 된다 했음 그러고 난 집갔는데 이왜진.. 개펑펑왔음 이게 말이 되나 싶을 정도로 .. 몇 년만에 울산에 펑펑 온 것인가 눈 좋아☃️⛄️❄️❄️ 환장의 뽀삐뽀 앞머리 너무 길어서...,%,3일 전
원땅들아푸리나성우님이부르신잔물결커버영상봄??,https://youtu.be/edVxE9_Xjaw?si=RH0Co_-leWwx7anM ㄹㅈㄷㅋㅋㅋㅋ 와 미쳤다 꼭봐줘 성악전공하셔서 불러줬으면좋겠다생각했는데 이왜진??,원신 공식카페,3일 전
